Id,Name,Lastname,Email,Gender,FavColor
1,Reginauld,Attryde,rattryde0@trellian.com,Male,Blue
2,Rancell,Idel,ridel1@unblog.fr,Male,Crimson
3,Jody,Welford,jwelford2@ftc.gov,Female,Red
4,Alaster,Frift,afrift3@howstuffworks.com,Male,Mauv
5,Guenna,Garbutt,ggarbutt4@nationalgeographic.com,Agender,Turquoise
6,Bibbye,Ludlamme,bludlamme5@samsung.com,Female,Blue
7,Cy,Gilchrest,cgilchrest6@parallels.com,Male,Mauv
8,Izaak,Lehrmann,ilehrmann7@blogger.com,Male,Pink
9,Jeffy,Mitchell,jmitchell8@jigsy.com,Male,Yellow
11,Juan,Perez,juanperez@mail.com,Male,Blue
